"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"589",2,57,5596,1993,"Psie Pole"
"590",3,67,6104,1900,"Stare Miasto"
"591",4,163,6687,2002,"Psie Pole"
"592",2,50,6980,1950,"Stare Miasto"
"593",2,47,7340,2005,"Krzyki"
"594",2,48,9375,2011,"Fabryczna"
"595",2,46,9130,2015,"Stare Miasto"
"596",3,65,7615,1970,"Śródmieście"
"597",3,66.1,5673,1991,"Krzyki"
"598",3,75.31,10185,2011,"Stare Miasto"
"599",3,51,6667,2000,"Krzyki"
"600",3,60,5000,1982,"Fabryczna"
"601",3,57,6982,2006,"Krzyki"
"602",3,52,6923,1985,"Stare Miasto"
"603",2,38.5,6753,NA,"Fabryczna"
"604",2,40,6975,2014,"Krzyki"
"605",2,45.2,5642,NA,"Fabryczna"
"606",2,35,6571,1970,"Krzyki"
